2022-12-06 02:43:13 - Task preparing to start
Dec  6 04:38:05 2022-12-06 11:45:23.044597+09:00 #011 [0.05801367999937079, 0.058797299603308706]
Dec  6 04:38:05 2022-12-06 11:46:27.555052+09:00 #011 [0.05680445494160369, 0.05758908047571343]
Dec  6 04:38:05 2022-12-06 11:47:32.487095+09:00 #011 [0.05781864369973089, 0.05918638711897495]
Dec  6 04:38:05 2022-12-06 11:48:37.263057+09:00 #011 [0.059219808450075906, 0.06159564092916958]
Dec  6 04:38:05 2022-12-06 11:49:42.195061+09:00 #011 [0.06244344819011716, 0.06279564650342895]
Dec  6 04:38:05 2022-12-06 11:50:47.390260+09:00 #011 [0.061242991657709966, 0.06000242469984718]
Dec  6 04:38:05 2022-12-06 11:51:52.103050+09:00 #011 [0.05902656851550048, 0.06039255841754021]
Dec  6 04:38:05 2022-12-06 11:52:56.544692+09:00 #011 [0.06143315018170137, 0.06279564650342895]
Dec  6 04:38:05 2022-12-06 11:54:01.295037+09:00 #011 [0.060613815270661675, 0.0639925869293505]
Dec  6 04:38:05 2022-12-06 11:55:06.495066+09:00 #011 [0.06080429121727926, 0.06359935419716933]
Dec  6 04:38:05 2022-12-06 11:56:11.663030+09:00 #011 [0.05979657049970111, 0.06518647393581822]
Dec  6 04:38:05 2022-12-06 11:57:16.159054+09:00 #011 [0.06181201193485719, 0.06518647393581822]
Dec  6 04:38:05 2022-12-06 11:58:20.911033+09:00 #011 [0.05758679211900963, 0.062403440217855266]
Dec  6 04:38:05 2022-12-06 11:59:25.459027+09:00 #011 [0.05979657049970111, 0.06518647393581822]
Dec  6 04:38:05 2022-12-06 12:00:30.003026+09:00 #011 [0.05960480755344433, 0.062403440217855266]
Dec  6 04:38:05 2022-12-06 12:01:34.791075+09:00 #011 [0.06263183070509626, 0.0639925869293505]
Dec  6 04:38:05 2022-12-06 12:02:39.743083+09:00 #011 [0.058208216846258654, 0.06000242469984718]
Dec  6 04:38:05 2022-12-06 12:03:44.835035+09:00 #011 [0.05193634890259258, 0.06039255841754021]
Dec  6 04:38:05 2022-12-06 12:04:49.787030+09:00 #011 [0.04970513363471252, 0.05758908047571343]
Dec  6 04:38:05 2022-12-06 12:05:54.563049+09:00 #011 [0.04725907220262682, 0.05516331234308969]
Dec  6 04:38:05 2022-12-06 12:06:59.414712+09:00 #011 [0.046662567360330476, 0.05758908047571343]
Dec  6 04:38:05 2022-12-06 12:08:03.963040+09:00 #011 [0.048897683354203525, 0.06039255841754021]
